income_groups,age,gender,year,population
high_income,0.0,1.0,1950,7798286.0
high_income,0.0,1.0,1951,7739711.0
high_income,0.0,1.0,1953,7722053.0
high_income,0.0,1.0,1954,7756149.0
high_income,0.0,1.0,1956,7881285.0
high_income,0.0,1.0,1957,7963331.0
high_income,0.0,1.0,1958,8059561.0
high_income,0.0,1.0,1959,8145397.0
high_income,0.0,1.0,1962,8246837.0
high_income,0.0,1.0,1964,8286815.0
high_income,0.0,1.0,1965,8226634.0
high_income,0.0,1.0,1968,7879501.0
high_income,0.0,1.0,1969,7829859.0
high_income,0.0,1.0,1970,7847667.0
high_income,0.0,1.0,1971,7877076.0
high_income,0.0,1.0,1972,7788912.0
high_income,0.0,1.0,1973,7622554.0
high_income,0.0,1.0,1975,7380875.0
high_income,0.0,1.0,1976,7268090.0
high_income,0.0,1.0,1978,7252074.0
high_income,0.0,1.0,1980,7344529.0
high_income,0.0,1.0,1981,7325343.0
high_income,0.0,1.0,1983,7225239.0
high_income,0.0,1.0,1984,7137798.0
high_income,0.0,1.0,1986,7051079.0
high_income,0.0,1.0,1987,7041240.0
high_income,0.0,1.0,1988,7050006.0
high_income,0.0,1.0,1989,7094591.0
high_income,0.0,1.0,1991,7135453.0
high_income,0.0,1.0,1992,7082019.0
high_income,0.0,1.0,1993,6993328.0
high_income,0.0,1.0,1994,6883434.0
high_income,0.0,1.0,1996,6716983.0
high_income,0.0,1.0,1998,6660832.0
high_income,0.0,1.0,1999,6606375.0
high_income,0.0,1.0,2000,6617943.0
high_income,0.0,1.0,2001,6610135.0
high_income,0.0,1.0,2002,6528265.0
high_income,0.0,1.0,2004,6540396.0
high_income,0.0,1.0,2005,6559108.0
high_income,0.0,1.0,2008,6812714.0
high_income,0.0,1.0,2009,6826019.0
high_income,0.0,1.0,2010,6773564.0
high_income,0.0,1.0,2011,6703672.0
high_income,0.0,1.0,2012,6670392.0
high_income,0.0,1.0,2013,6627748.0
high_income,0.0,1.0,2014,6601389.0
high_income,0.0,1.0,2015,6612729.0
high_income,0.0,1.0,2016,6604755.0
high_income,0.0,1.0,2017,6512293.0
high_income,0.0,1.0,2018,6360084.0
high_income,0.0,1.0,2019,6236119.0
high_income,0.0,1.0,2020,6073742.0
high_income,0.0,1.0,2021,5985257.0
high_income,0.0,1.0,2022,5956472.0
high_income,0.0,1.0,2023,5851268.0
high_income,0.0,2.0,1954,7409628.0
high_income,0.0,2.0,1955,7482347.0
high_income,0.0,2.0,1956,7564891.0
high_income,0.0,2.0,1959,7787656.0
high_income,0.0,2.0,1960,7798290.0
high_income,0.0,2.0,1962,7854217.0
high_income,0.0,2.0,1963,7855562.0
high_income,0.0,2.0,1965,7826953.0
high_income,0.0,2.0,1966,7609988.0
high_income,0.0,2.0,1968,7502282.0
high_income,0.0,2.0,1969,7442219.0
high_income,0.0,2.0,1970,7454461.0
high_income,0.0,2.0,1971,7476451.0
high_income,0.0,2.0,1972,7388413.0
high_income,0.0,2.0,1974,7121690.0
high_income,0.0,2.0,1975,6980809.0
high_income,0.0,2.0,1976,6885153.0
high_income,0.0,2.0,1977,6885229.0
high_income,0.0,2.0,1978,6873455.0
high_income,0.0,2.0,1980,6954609.0
high_income,0.0,2.0,1981,6944597.0
high_income,0.0,2.0,1982,6909028.0
high_income,0.0,2.0,1983,6844708.0
high_income,0.0,2.0,1984,6760730.0
high_income,0.0,2.0,1985,6710580.0
high_income,0.0,2.0,1986,6681303.0
high_income,0.0,2.0,1987,6668800.0
high_income,0.0,2.0,1988,6677906.0
high_income,0.0,2.0,1989,6718403.0
high_income,0.0,2.0,1991,6753836.0
high_income,0.0,2.0,1992,6703610.0
high_income,0.0,2.0,1994,6503010.0
high_income,0.0,2.0,1995,6405896.0
high_income,0.0,2.0,1996,6350785.0
high_income,0.0,2.0,1997,6339061.0
high_income,0.0,2.0,1999,6258309.0
high_income,0.0,2.0,2001,6266634.0
high_income,0.0,2.0,2003,6179164.0
high_income,0.0,2.0,2004,6200273.0
high_income,0.0,2.0,2005,6220011.0
high_income,0.0,2.0,2006,6286149.0
high_income,0.0,2.0,2008,6468747.0
high_income,0.0,2.0,2009,6478604.0
high_income,0.0,2.0,2010,6426290.0
high_income,0.0,2.0,2011,6363821.0
high_income,0.0,2.0,2014,6270340.0
high_income,0.0,2.0,2015,6277873.0
high_income,0.0,2.0,2016,6272345.0
high_income,0.0,2.0,2017,6192210.0
high_income,0.0,2.0,2018,6050318.0
high_income,0.0,2.0,2020,5783387.0
high_income,0.0,2.0,2021,5697100.0
high_income,0.0,2.0,2022,5666573.0
high_income,0.0,2.0,2023,5564024.0
high_income,1.0,1.0,1950,7626230.0
high_income,1.0,1.0,1951,7556711.0
high_income,1.0,1.0,1952,7513759.0
high_income,1.0,1.0,1953,7518285.0
high_income,1.0,1.0,1954,7539332.0
high_income,1.0,1.0,1955,7572622.0
high_income,1.0,1.0,1956,7650552.0
high_income,1.0,1.0,1957,7736273.0
high_income,1.0,1.0,1958,7815826.0
high_income,1.0,1.0,1959,7906936.0
high_income,1.0,1.0,1960,7999632.0
high_income,1.0,1.0,1962,8079265.0
high_income,1.0,1.0,1963,8110340.0
high_income,1.0,1.0,1964,8120514.0
high_income,1.0,1.0,1965,8162849.0
high_income,1.0,1.0,1966,8097734.0
high_income,1.0,1.0,1967,7872571.0
high_income,1.0,1.0,1968,7772303.0
high_income,1.0,1.0,1969,7768100.0
high_income,1.0,1.0,1970,7714213.0
high_income,1.0,1.0,1972,7813829.0
high_income,1.0,1.0,1973,7722990.0
high_income,1.0,1.0,1974,7553832.0
high_income,1.0,1.0,1975,7448468.0
high_income,1.0,1.0,1976,7307770.0
high_income,1.0,1.0,1978,7184004.0
high_income,1.0,1.0,1980,7215511.0
high_income,1.0,1.0,1981,7287186.0
high_income,1.0,1.0,1982,7279277.0
high_income,1.0,1.0,1983,7237517.0
high_income,1.0,1.0,1984,7176296.0
high_income,1.0,1.0,1985,7088197.0
high_income,1.0,1.0,1986,7039310.0
high_income,1.0,1.0,1987,7015356.0
high_income,1.0,1.0,1988,6993862.0
high_income,1.0,1.0,1989,7005493.0
high_income,1.0,1.0,1990,7043284.0
high_income,1.0,1.0,1991,7090619.0
high_income,1.0,1.0,1994,6976401.0
high_income,1.0,1.0,1997,6704447.0
high_income,1.0,1.0,1998,6677681.0
high_income,1.0,1.0,1999,6647257.0
high_income,1.0,1.0,2000,6591692.0
high_income,1.0,1.0,2001,6606270.0
high_income,1.0,1.0,2002,6617019.0
high_income,1.0,1.0,2003,6540083.0
high_income,1.0,1.0,2004,6526842.0
high_income,1.0,1.0,2005,6552591.0
high_income,1.0,1.0,2006,6565385.0
high_income,1.0,1.0,2007,6637392.0
high_income,1.0,1.0,2008,6756639.0
high_income,1.0,1.0,2009,6831326.0
high_income,1.0,1.0,2010,6844131.0
high_income,1.0,1.0,2011,6791155.0
high_income,1.0,1.0,2012,6728916.0
high_income,1.0,1.0,2013,6709032.0
high_income,1.0,1.0,2014,6670167.0
high_income,1.0,1.0,2017,6657616.0
high_income,1.0,1.0,2018,6557841.0
high_income,1.0,1.0,2019,6401234.0
high_income,1.0,1.0,2020,6267968.0
high_income,1.0,1.0,2021,6094253.0
high_income,1.0,1.0,2022,6017016.0
high_income,1.0,1.0,2023,5991930.0
high_income,1.0,2.0,1950,7338204.0
high_income,1.0,2.0,1951,7251493.0
high_income,1.0,2.0,1953,7213206.0
high_income,1.0,2.0,1954,7236605.0
high_income,1.0,2.0,1955,7271845.0
high_income,1.0,2.0,1957,7462478.0
high_income,1.0,2.0,1958,7533131.0
high_income,1.0,2.0,1959,7607771.0
high_income,1.0,2.0,1960,7673277.0
high_income,1.0,2.0,1962,7728676.0
high_income,1.0,2.0,1963,7750509.0
high_income,1.0,2.0,1964,7759303.0
high_income,1.0,2.0,1965,7794655.0
high_income,1.0,2.0,1967,7515063.0
high_income,1.0,2.0,1968,7427394.0
high_income,1.0,2.0,1969,7420369.0
high_income,1.0,2.0,1970,7359125.0
high_income,1.0,2.0,1971,7388196.0
high_income,1.0,2.0,1972,7432697.0
high_income,1.0,2.0,1976,6924698.0
high_income,1.0,2.0,1977,6834087.0
high_income,1.0,2.0,1978,6823439.0
high_income,1.0,2.0,1979,6811397.0
high_income,1.0,2.0,1980,6847032.0
high_income,1.0,2.0,1981,6911630.0
high_income,1.0,2.0,1982,6908156.0
high_income,1.0,2.0,1983,6871327.0
high_income,1.0,2.0,1984,6805963.0
high_income,1.0,2.0,1985,6721664.0
high_income,1.0,2.0,1987,6653676.0
high_income,1.0,2.0,1988,6632131.0
high_income,1.0,2.0,1989,6645054.0
high_income,1.0,2.0,1990,6678958.0
high_income,1.0,2.0,1991,6716991.0
high_income,1.0,2.0,1992,6734853.0
high_income,1.0,2.0,1993,6694647.0
high_income,1.0,2.0,1994,6597875.0
high_income,1.0,2.0,1995,6490488.0
high_income,1.0,2.0,1996,6395924.0
high_income,1.0,2.0,1999,6299450.0
high_income,1.0,2.0,2000,6248230.0
high_income,1.0,2.0,2002,6275446.0
high_income,1.0,2.0,2005,6213851.0
high_income,1.0,2.0,2006,6227025.0
high_income,1.0,2.0,2007,6297166.0
high_income,1.0,2.0,2009,6486355.0
high_income,1.0,2.0,2012,6388324.0
high_income,1.0,2.0,2014,6331903.0
high_income,1.0,2.0,2015,6311051.0
high_income,1.0,2.0,2016,6326062.0
high_income,1.0,2.0,2018,6235133.0
high_income,1.0,2.0,2019,6089919.0
high_income,1.0,2.0,2020,5968541.0
high_income,1.0,2.0,2021,5804229.0
high_income,1.0,2.0,2022,5728391.0
high_income,1.0,2.0,2023,5701994.0
high_income,10.0,1.0,1950,5970076.0
high_income,10.0,1.0,1951,6036814.0
high_income,10.0,1.0,1952,6038008.0
high_income,10.0,1.0,1954,6127778.0
high_income,10.0,1.0,1955,5973970.0
high_income,10.0,1.0,1956,6481399.0
high_income,10.0,1.0,1957,7254198.0
high_income,10.0,1.0,1958,7450828.0
high_income,10.0,1.0,1959,7390764.0
high_income,10.0,1.0,1961,7335254.0
high_income,10.0,1.0,1962,7358338.0
high_income,10.0,1.0,1963,7410353.0
high_income,10.0,1.0,1964,7478418.0
high_income,10.0,1.0,1966,7676453.0
high_income,10.0,1.0,1968,7858030.0
high_income,10.0,1.0,1969,7992788.0
high_income,10.0,1.0,1970,8075563.0
high_income,10.0,1.0,1971,8115792.0
high_income,10.0,1.0,1973,8115487.0
high_income,10.0,1.0,1975,8083932.0
high_income,10.0,1.0,1977,7739363.0
high_income,10.0,1.0,1978,7755657.0
high_income,10.0,1.0,1979,7764297.0
high_income,10.0,1.0,1980,7838585.0
high_income,10.0,1.0,1982,7743007.0
high_income,10.0,1.0,1983,7557503.0
high_income,10.0,1.0,1985,7334818.0
high_income,10.0,1.0,1986,7221960.0
high_income,10.0,1.0,1988,7168392.0
high_income,10.0,1.0,1990,7322016.0
high_income,10.0,1.0,1992,7315956.0
high_income,10.0,1.0,1993,7260859.0
high_income,10.0,1.0,1994,7187066.0
high_income,10.0,1.0,1995,7164122.0
high_income,10.0,1.0,1998,7132614.0
high_income,10.0,1.0,1999,7196209.0
high_income,10.0,1.0,2000,7294671.0
high_income,10.0,1.0,2001,7335460.0
high_income,10.0,1.0,2003,7155730.0
high_income,10.0,1.0,2004,7041429.0
high_income,10.0,1.0,2006,6907754.0
high_income,10.0,1.0,2009,6826173.0
high_income,10.0,1.0,2011,6847511.0
high_income,10.0,1.0,2013,6740087.0
high_income,10.0,1.0,2014,6776653.0
high_income,10.0,1.0,2015,6817304.0
high_income,10.0,1.0,2017,7058790.0
high_income,10.0,1.0,2018,7143693.0
high_income,10.0,1.0,2019,7142662.0
high_income,10.0,1.0,2022,7019734.0
high_income,10.0,2.0,1950,5817634.0
high_income,10.0,2.0,1951,5873254.0
high_income,10.0,2.0,1952,5851729.0
high_income,10.0,2.0,1954,5968468.0
high_income,10.0,2.0,1956,6261682.0
high_income,10.0,2.0,1957,7000660.0
high_income,10.0,2.0,1958,7211805.0
high_income,10.0,2.0,1960,7092838.0
high_income,10.0,2.0,1961,7078355.0
high_income,10.0,2.0,1963,7157702.0
high_income,10.0,2.0,1964,7211681.0
high_income,10.0,2.0,1965,7333302.0
high_income,10.0,2.0,1966,7422685.0
high_income,10.0,2.0,1968,7554047.0
high_income,10.0,2.0,1969,7654619.0
high_income,10.0,2.0,1971,7760362.0
high_income,10.0,2.0,1973,7751530.0
high_income,10.0,2.0,1974,7784614.0
high_income,10.0,2.0,1975,7716038.0
high_income,10.0,2.0,1976,7489554.0
high_income,10.0,2.0,1978,7390926.0
high_income,10.0,2.0,1979,7384737.0
high_income,10.0,2.0,1980,7446284.0
high_income,10.0,2.0,1982,7347895.0
high_income,10.0,2.0,1983,7168298.0
high_income,10.0,2.0,1984,7061454.0
high_income,10.0,2.0,1985,6957129.0
high_income,10.0,2.0,1986,6851334.0
high_income,10.0,2.0,1987,6809035.0
high_income,10.0,2.0,1988,6804980.0
high_income,10.0,2.0,1989,6858738.0
high_income,10.0,2.0,1990,6949479.0
high_income,10.0,2.0,1992,6942864.0
high_income,10.0,2.0,1993,6883502.0
high_income,10.0,2.0,1995,6794826.0
high_income,10.0,2.0,1996,6764288.0
high_income,10.0,2.0,1998,6748345.0
high_income,10.0,2.0,1999,6802184.0
high_income,10.0,2.0,2000,6878138.0
high_income,10.0,2.0,2001,6907065.0
high_income,10.0,2.0,2002,6844067.0
high_income,10.0,2.0,2003,6733973.0
high_income,10.0,2.0,2005,6551402.0
high_income,10.0,2.0,2006,6506479.0
high_income,10.0,2.0,2007,6490814.0
high_income,10.0,2.0,2008,6482426.0
high_income,10.0,2.0,2010,6468216.0
high_income,10.0,2.0,2011,6473578.0
high_income,10.0,2.0,2012,6395419.0
high_income,10.0,2.0,2013,6380103.0
high_income,10.0,2.0,2014,6416909.0
high_income,10.0,2.0,2015,6452765.0
high_income,10.0,2.0,2016,6544808.0
high_income,10.0,2.0,2017,6679744.0
high_income,10.0,2.0,2018,6762361.0
high_income,10.0,2.0,2019,6761154.0
high_income,10.0,2.0,2020,6711732.0
high_income,10.0,2.0,2021,6662756.0
high_income,100.0,1.0,1950,2517.0
high_income,100.0,1.0,1951,2248.0
high_income,100.0,1.0,1953,2153.0
high_income,100.0,1.0,1956,2221.0
high_income,100.0,1.0,1958,2098.0
high_income,100.0,1.0,1959,1981.0
high_income,100.0,1.0,1960,1997.0
high_income,100.0,1.0,1961,2115.0
high_income,100.0,1.0,1962,2276.0
high_income,100.0,1.0,1963,2425.0
high_income,100.0,1.0,1964,2690.0
high_income,100.0,1.0,1965,3000.0
high_income,100.0,1.0,1966,3220.0
high_income,100.0,1.0,1967,3425.0
high_income,100.0,1.0,1968,3659.0
high_income,100.0,1.0,1969,3951.0
high_income,100.0,1.0,1970,4351.0
high_income,100.0,1.0,1971,473600.0
high_income,100.0,1.0,1973,5297.0
high_income,100.0,1.0,1974,5596.0
high_income,100.0,1.0,1975,5966.0
high_income,100.0,1.0,1976,6338.0
high_income,100.0,1.0,1977,6701.0
high_income,100.0,1.0,1981,8034.0
high_income,100.0,1.0,1982,8515.0
high_income,100.0,1.0,1983,8988.0
high_income,100.0,1.0,1984,9414.0
high_income,100.0,1.0,1985,9774.0
high_income,100.0,1.0,1986,10114.0
high_income,100.0,1.0,1987,10574.0
high_income,100.0,1.0,1988,11028.0
high_income,100.0,1.0,1989,11454.0
high_income,100.0,1.0,1990,11859.0
high_income,100.0,1.0,1992,12313.0
high_income,100.0,1.0,1994,12074.0
high_income,100.0,1.0,1995,12200.0
high_income,100.0,1.0,1996,12527.0
high_income,100.0,1.0,1997,13180.0
high_income,100.0,1.0,1999,15111.0
high_income,100.0,1.0,2000,16265.0
high_income,100.0,1.0,2001,17520.0
high_income,100.0,1.0,2005,21984.0
high_income,100.0,1.0,2006,23259.0
high_income,100.0,1.0,2008,26483.0
high_income,100.0,1.0,2009,28294.0
high_income,100.0,1.0,2010,30305.0
high_income,100.0,1.0,2012,34096.0
high_income,100.0,1.0,2013,36300.0
high_income,100.0,1.0,2014,38440.0
high_income,100.0,1.0,2016,40281.0
high_income,100.0,1.0,2017,41509.0
high_income,100.0,1.0,2018,43668.0
high_income,100.0,1.0,2019,47614.0
high_income,100.0,1.0,2020,53333.0
high_income,100.0,1.0,2021,59982.0
high_income,100.0,1.0,2022,64066.0
high_income,100.0,1.0,2023,66519.0
high_income,100.0,2.0,1950,6150.0
high_income,100.0,2.0,1951,5679.0
high_income,100.0,2.0,1952,5552.0
high_income,100.0,2.0,1954,5578.0
high_income,100.0,2.0,1955,5636.0
high_income,100.0,2.0,1958,5737.0
high_income,100.0,2.0,1959,5542.0
high_income,100.0,2.0,1960,5612.0
high_income,100.0,2.0,1962,6486.0
high_income,100.0,2.0,1963,6974.0
high_income,100.0,2.0,1964,7598.0
high_income,100.0,2.0,1965,8321.0
high_income,100.0,2.0,1966,8973.0
high_income,100.0,2.0,1968,10243.0
high_income,100.0,2.0,1969,10931.0
high_income,100.0,2.0,1970,11836.0
high_income,100.0,2.0,1971,12853.0
high_income,100.0,2.0,1973,15255.0
high_income,100.0,2.0,1974,16518.0
high_income,100.0,2.0,1975,18151.0
high_income,100.0,2.0,1979,24306.0
high_income,100.0,2.0,1980,26037.0
high_income,100.0,2.0,1981,28001.0
high_income,100.0,2.0,1982,30682.0
high_income,100.0,2.0,1984,36805.0
high_income,100.0,2.0,1985,40149.0
high_income,100.0,2.0,1986,43196.0
high_income,100.0,2.0,1987,46158.0
high_income,100.0,2.0,1988,48920.0
high_income,100.0,2.0,1990,54045.0
high_income,100.0,2.0,1991,57105.0
high_income,100.0,2.0,1993,63481.0
high_income,100.0,2.0,1994,66627.0
high_income,100.0,2.0,1995,70410.0
high_income,100.0,2.0,1996,74522.0
high_income,100.0,2.0,1997,79332.0
high_income,100.0,2.0,1998,84601.0
high_income,100.0,2.0,1999,89876.0
high_income,100.0,2.0,2001,103091.0
high_income,100.0,2.0,2002,110062.0
high_income,100.0,2.0,2003,116030.0
high_income,100.0,2.0,2004,122476.0
high_income,100.0,2.0,2005,129858.0
high_income,100.0,2.0,2006,138164.0
high_income,100.0,2.0,2008,157662.0
high_income,100.0,2.0,2009,167948.0
high_income,100.0,2.0,2010,178683.0
high_income,100.0,2.0,2012,196835.0
high_income,100.0,2.0,2014,213562.0
high_income,100.0,2.0,2016,220017.0
high_income,100.0,2.0,2019,245215.0
high_income,100.0,2.0,2021,290645.0
high_income,100.0,2.0,2023,314643.0
high_income,11.0,1.0,1951,5949900.0
high_income,11.0,1.0,1954,6126472.0
high_income,11.0,1.0,1955,6124639.0
high_income,11.0,1.0,1957,6492664.0
high_income,11.0,1.0,1959,7451722.0
high_income,11.0,1.0,1960,7396762.0
high_income,11.0,1.0,1961,7346918.0
high_income,11.0,1.0,1962,7342227.0
high_income,11.0,1.0,1963,7363404.0
high_income,11.0,1.0,1964,7415452.0
high_income,11.0,1.0,1968,7743817.0
high_income,11.0,1.0,1969,7871921.0
high_income,11.0,1.0,1970,8007990.0
high_income,11.0,1.0,1971,8094910.0
high_income,11.0,1.0,1972,8133878.0
high_income,11.0,1.0,1974,8132893.0
high_income,11.0,1.0,1975,8170632.0
high_income,11.0,1.0,1976,8095998.0
high_income,11.0,1.0,1977,7863848.0
high_income,11.0,1.0,1979,7764251.0
high_income,11.0,1.0,1981,7861346.0
high_income,11.0,1.0,1982,7887623.0
high_income,11.0,1.0,1985,7464151.0
high_income,11.0,1.0,1986,7353145.0
high_income,11.0,1.0,1987,7239318.0
high_income,11.0,1.0,1988,7204446.0
high_income,11.0,1.0,1989,7197199.0
high_income,11.0,1.0,1991,7348980.0
high_income,11.0,1.0,1992,7376594.0
high_income,11.0,1.0,1993,7345840.0
high_income,11.0,1.0,1994,7287157.0
